8192 -126 -128
16384 -2 -2
24576 -128 126
32768 -2 2
40960 126 -128
49152 2 2
57344 -128 -126
0 2 -2
8192 -126 -128
16384 -2 -2
24576 -128 126
32768 -2 2
40960 126 -128
49152 2 2
57344 -128 -126
0 2 -2
8192 -126 -128
16384 -2 -2
24576 -128 126
32768 -2 2
40960 126 -128
49152 2 2
57344 -128 -126
0 2 -2
8192 -126 -128
16384 -2 -2
24576 -128 126
32768 -2 2
40960 126 -128
49152 2 2
57344 -128 -126
0 2 -2
8192 -126 -128
16384 -2 -2
24576 -128 126
32768 -2 2
40960 126 -128
49152 2 2
57344 -128 -126
0 2 -2
8192 -126 -128
16384 -2 -2
24576 -128 126
32768 -2 2
40960 126 -128
49152 2 2
57344 -128 -126
0 2 -2
8192 -126 -128
16384 -2 -2
24576 -128 126
32768 -2 2
40960 126 -128
49152 2 2
57344 -128 -126
0 2 -2
8192 -126 -128
16384 -2 -2
24576 -128 126
32768 -2 2
40960 126 -128
49152 2 2
57344 -128 -126
0 2 -2
8192 -126 -128
16384 -2 -2
24576 -128 126
32768 -2 2
40960 126 -128
49152 2 2
57344 -128 -126
0 2 -2
8192 -126 -128
16384 -2 -2
24576 -128 126
32768 -2 2
40960 126 -128
49152 2 2
57344 -128 -126
0 2 -2
8192 -126 -128
16384 -2 -2
24576 -128 126
32768 -2 2
40960 126 -128
49152 2 2
57344 -128 -126
0 2 -2
8192 -126 -128
16384 -2 -2
24576 -128 126
32768 -2 2
40960 126 -128
49152 2 2
57344 -128 -126
0 2 -2
8192 -126 -128
16384 -2 -2
24576 -128 126
32768 -2 2
40960 126 -128
49152 2 2
57344 -128 -126
0 2 -2
8192 -126 -128
16384 -2 -2
24576 -128 126
32768 -2 2
40960 126 -128
49152 2 2
57344 -128 -126
0 2 -2
8192 -126 -128
16384 -2 -2
24576 -128 126
32768 -2 2
40960 126 -128
49152 2 2
57344 -128 -126
0 2 -2
8192 -126 -128
16384 -2 -2
24576 -128 126
32768 -2 2
40960 126 -128
49152 2 2
57344 -128 -126
0 2 -2
